huishouden_id,woonoppervlak_m2,aantal_personen,woningtype,bouwjaar,isolatieklasse,gemiddeld_verbruik_kwh,gemiddeld_verbruik_m3,duurzaam_actief,inkomen_klasse,bouwperiode
HH0001,115,2,Tussenwoning,1943,Goed,2428.0,1040.0,Ja,,<1945
HH0002,96,2,Tussenwoning,1945,Goed,2372.0,817.0,Nee,Midden,<1945
HH0003,119,3,Appartement,1997,Matig,2762.0,958.0,Nee,,1995-2010
HH0004,146,3,Hoekwoning,1961,Goed,3021.0,1326.0,Ja,Laag,1945-1975
HH0005,93,5,Hoekwoning,1965,Slecht,3585.0,1548.0,Ja,Hoog,1945-1975
HH0006,93,5,Vrijstaand,1942,Matig,3592.0,1366.0,Ja,Laag,<1945
HH0007,147,1,Appartement,1980,Goed,2041.0,890.0,Ja,Hoog,1975-1995
HH0008,123,1,Appartement,1999,Matig,1912.0,709.0,Nee,Laag,1995-2010
HH0009,86,5,Tussenwoning,1953,Matig,3582.0,1138.0,Ja,Midden,1945-1975
HH0010,116,5,Appartement,2014,Matig,3682.0,884.0,Nee,Laag,>2010
HH0011,86,4,Hoekwoning,2021,Goed,3142.0,520.0,Nee,,>2010
HH0012,86,3,Appartement,1951,maitg,2678.0,,Nee,Laag,1945-1975
HH0013,107,1,Tussenwoning,1951,Slecht,1872.0,975.0,Nee,Hoog,1945-1975
HH0014,43,3,Vrijstaand,1952,Goed,2445.0,412.0,Nee,Midden,1945-1975
HH0015,48,3,Tussenwoning,1964,Matig,2476.0,528.0,Nee,Laag,1945-1975
HH0016,83,5,Tussenwoning,1984,Goed,3596.0,794.0,Nee,Hoog,1975-1995
HH0017,70,4,Vrijstaand,1958,Goed,3068.0,726.0,Ja,Midden,1945-1975
HH0018,109,2,Tussenwoning,1994,Goed,4398.0,720.0,Nee,Hoog,1975-1995
HH0019,73,4,Tussenwoning,1984,Matig,3069.0,833.0,Ja,Hoog,1975-1995
HH0020,58,4,Appartement,1947,Goed,3012.0,567.0,Nee,Midden,1945-1975
HH0021,144,3,Appartement,1992,Matig,2850.0,1368.0,Ja,Laag,1975-1995
HH0022,93,4,Vrijstaand,1994,Goed,3190.0,842.0,Nee,Hoog,1975-1995
HH0023,102,1,Appartement,1971,maitg,1826.0,,Nee,Hoog,1945-1975
HH0024,57,3,Appartement,1990,Goed,2551.0,496.0,Nee,Laag,1975-1995
HH0025,84,1,Tussenwoning,1983,Goed,1738.0,537.0,Nee,Laag,1975-1995
HH0026,103,2,Hoekwoning,2021,Slecht,2222.0,653.0,Nee,Midden,>2010
HH0027,65,3,Appartement,2009,Matig,2522.0,503.0,Ja,Midden,1995-2010
HH0028,111,2,Hoekwoning,1957,Matig,2358.0,1248.0,Ja,Midden,1945-1975
HH0029,82,3,Appartement,2022,Goed,2671.0,447.0,Nee,,>2010
HH0030,91,5,Appartement,1961,Slecht,3564.0,1275.0,Nee,Hoog,1945-1975
HH0031,82,4,Vrijstaand,1976,Matig,3136.0,828.0,Nee,Hoog,1975-1995
HH0032,156,5,Vrijstaand,1995,Goed,3800.0,1506.0,Nee,Midden,1975-1995
HH0033,100,2,Vrijstaand,1998,Slecht,2297.0,825.0,Nee,,1995-2010
HH0034,68,4,Hoekwoning,1942,Matig,2999.0,869.0,Nee,Hoog,<1945
HH0035,125,3,Tussenwoning,1967,Matig,2834.0,1432.0,Ja,,1945-1975
HH0036,63,4,Appartement,2013,Slecht,3016.0,567.0,Ja,Hoog,>2010
HH0037,106,1,Appartement,1974,Slecht,1834.0,1097.0,Ja,Hoog,1945-1975
HH0038,41,4,Appartement,2000,,2897.0,,Nee,Laag,1995-2010
HH0039,60,1,Hoekwoning,1993,Slecht,1680.0,545.0,Nee,Laag,1975-1995
HH0040,106,4,Vrijstaand,2002,Goed,3199.0,761.0,Nee,Hoog,1995-2010
HH0041,122,1,Tussenwoning,2018,Slecht,2011.0,768.0,Nee,Midden,>2010
HH0042,105,2,Hoekwoning,1946,Matig,2266.0,1023.0,Nee,Laag,1945-1975
HH0043,97,5,Vrijstaand,2015,Matig,3661.0,820.0,Nee,Hoog,>2010
HH0044,91,3,Hoekwoning,1988,Goed,2771.0,669.0,Nee,Laag,1975-1995
HH0045,56,4,Tussenwoning,1970,Matig,2911.0,694.0,Ja,Laag,1945-1975
HH0046,78,5,Vrijstaand,1997,Matig,3509.0,810.0,Ja,Laag,1995-2010
HH0047,86,3,Hoekwoning,2000,Slecht,2705.0,774.0,Nee,Hoog,1995-2010
HH0048,132,3,Tussenwoning,1963,Matig,2897.0,1427.0,Nee,Midden,1945-1975
HH0049,110,1,Appartement,1959,Goed,1920.0,819.0,Nee,Midden,1945-1975
HH0050,47,2,Tussenwoning,1976,Slecht,2021.0,469.0,Ja,Midden,1975-1995
HH0051,110,2,Appartement,1943,Slecht,2355.0,1400.0,Nee,Laag,<1945
HH0052,88,5,Hoekwoning,1959,Goed,3583.0,898.0,Ja,Hoog,1945-1975
HH0053,80,2,Vrijstaand,1999,Slecht,2247.0,594.0,Ja,Laag,1995-2010
HH0054,118,4,Vrijstaand,1963,,3305.0,,Nee,Midden,1945-1975
HH0055,131,2,Hoekwoning,1989,Goed,2477.0,752.0,Nee,Midden,1975-1995
HH0056,128,5,Tussen woning,1988,Slecht,3764.0,1757.0,Nee,Hoog,1975-1995
HH0057,75,2,Vrijstaand,1990,Goed,2157.0,565.0,Nee,Laag,1975-1995
HH0058,91,4,Appartement,1975,Goed,3135.0,851.0,Nee,Midden,1945-1975
HH0059,110,1,Hoekwoning,2005,Matig,1922.0,725.0,Nee,Hoog,1995-2010
HH0060,129,5,Tussenwoning,2018,Matig,3768.0,1045.0,Ja,Laag,>2010
HH0061,86,1,Appartement,1973,Slecht,1792.0,928.0,Nee,Laag,1945-1975
HH0062,94,1,Hoekwoning,1975,Slecht,1918.0,947.0,Nee,Midden,1945-1975
HH0063,67,1,Appartement,1945,Goed,1714.0,567.0,Nee,Midden,<1945
HH0064,64,3,Tussenwoning,1978,Slecht,2560.0,723.0,Nee,Laag,1975-1995
HH0065,124,3,Tussenwoning,1981,Goed,2944.0,933.0,Ja,Laag,1975-1995
HH0066,141,1,Hoekwoning,1997,Goed,2026.0,740.0,Nee,Midden,1995-2010
HH0067,98,5,Tussenwoning,1951,Slecht,3540.0,1560.0,Nee,Laag,1945-1975
HH0068,130,4,Appartement,1942,Goed,3284.0,1418.0,Nee,Midden,<1945
HH0069,111,4,Tussenwoning,1957,Matig,3151.0,1337.0,Nee,Laag,1945-1975
