klant_id,leeftijd,geslacht,totaal_bestellingen,totaal_retouren
1040,39.0,M,6,4.0
1099,33.0,Man,10,8.0
1083,41.0,Anders,4,4.0
1017,50.0,V,4,2.0
1057,32.0,vrouw,4,2.0
1108,4.0,Vrouw,5,3.0
1054,50.0,man,3,2.0
1100,42.0,V,3,2.0
1010,30.0,V,2,0.0
1107,40.0,M,7,5.0
1023,30.0,Anders,2,1.0
1038,30.0,Man,7,6.0
1004,118.0,Man,3,3.0
1090,15.0,Vrouw,4,4.0
1006,17.0,M,3,2.0
1015,29.0,V,5,3.0
1053,24.0,vrouw,4,2.0
1034,38.0,M,4,
1031,25.0,Vrouw,2,0.0
1093,20.0,Vrouw,2,2.0
1058,49.0,M,150,149.0
1052,32.0,Vrouw,5,3.0
1070,35.0,M,3,3.0
1022,20.0,man,12,10.0
1096,29.0,M,7,6.0
1044,36.0,Anders,3,10.0
1094,23.0,M,6,5.0
1036,38.0,Vrouw,3,2.0
1020,28.0,Anders,7,7.0
1067,32.0,Vrouw,7,7.0
1095,28.0,Man,4,4.0
1082,53.0,Man,6,6.0
1088,34.0,Anders,2,2.0
1027,24.0,man,5,5.0
1021,43.0,Man,11,11.0
1042,22.0,M,4,2.0
1011,37.0,Vrouw,7,6.0
1009,15.0,Man,6,6.0
1081,21.0,Man,8,6.0
1104,36.0,man,3,1.0
1049,42.0,Anders,6,4.0
1072,36.0,Anders,5,4.0
1110,33.0,V,8,8.0
1073,31.0,man,3,1.0
1037,20.0,M,4,3.0
1018,27.0,Anders,999,998.0
1069,,Vrouw,4,3.0
1032,45.0,man,5,3.0
1093,38.0,Man,7,7.0
1114,17.0,Vrouw,5,3.0
1102,38.0,Vrouw,1,-1.0
1111,31.0,Man,7,7.0
1097,28.0,man,3,3.0
1068,41.0,Man,4,4.0
1074,45.0,V,1,0.0
1076,44.0,Vrouw,6,6.0
1056,26.0,vrouw,12,10.0
1112,31.0,vrouw,5,5.0
1087,38.0,M,6,4.0
1078,44.0,Anders,3,2.0
1063,30.0,Man,7,20.0
1035,33.0,Man,8,6.0
1033,23.0,M,2,2.0
1079,23.0,M,5,5.0
1012,43.0,M,4,2.0
1073,48.0,Vrouw,1,1.0
1019,34.0,V,6,5.0
1041,45.0,Man,4,3.0
1003,38.0,Vrouw,4,4.0
1098,28.0,M,5,4.0
1051,38.0,Man,4,4.0
1026,50.0,Vrouw,7,5.0
1103,34.0,V,6,4.0
1014,50.0,Vrouw,3,2.0
1089,8.0,V,4,4.0
1106,43.0,M,3,3.0
1055,35.0,V,4,3.0
1101,32.0,Man,1,-1.0
1092,35.0,M,10,9.0
1071,15.0,Man,5,3.0
1109,32.0,vrouw,7,7.0
1039,38.0,man,3,1.0
1024,49.0,V,0,-1.0
1029,29.0,man,4,4.0
1048,26.0,man,9,8.0
1113,29.0,V,9,8.0
1016,44.0,M,9,7.0
1080,38.0,vrouw,3,2.0
1077,29.0,Man,5,3.0
1105,40.0,Vrouw,9,9.0
1075,35.0,Man,5,3.0
1065,44.0,Vrouw,7,7.0
1066,27.0,Man,8,6.0
1013,31.0,V,4,3.0
1086,31.0,vrouw,6,4.0
1085,20.0,Vrouw,4,2.0
1060,37.0,Anders,4,4.0
1081,37.0,M,4,3.0
1096,35.0,Man,5,3.0
1045,32.0,Man,6,5.0
1025,20.0,Vrouw,4,2.0
1062,30.0,M,2,0.0
1115,31.0,M,4,3.0
1028,26.0,V,7,5.0
1059,33.0,Anders,6,5.0
1005,39.0,V,7,5.0
1047,53.0,V,4,4.0
1084,36.0,V,10,9.0
1091,37.0,V,6,4.0
1046,34.0,V,9,7.0
1064,15.0,vrouw,4,4.0
1002,34.0,M,8,7.0
1030,35.0,V,8,6.0
1007,59.0,M,7,7.0
1001,33.0,M,4,2.0
1103,38.0,man,7,6.0
1043,34.0,vrouw,4,2.0
1050,23.0,V,5,3.0
1061,46.0,Man,7,5.0
1071,15.0,Man,5,3.0
